,T_004,T_005,T_010,T_011,T_018,T_019,T_025,T_026,T_031,T_032,T_038,T_039,T_042,T_043,T_045,T_046,T_048,T_049,T_051,T_052,T_053,T_054,T_056,T_057,T_059,T_060,T_061,T_062,T_063,T_064,T_066,T_067,T_069,T_070,T_071,T_072,T_074,T_075,T_077,T_078,T_080,T_081,T_082,T_083,T_084,T_085,T_087,T_088,T_090,T_091,T_093,T_094,T_096,T_097,T_098,T_099,T_101,T_102
hsa-let-7a-2-3p,2.167568666,1.343763863,4.046095346,1.555062566,1.469930494,2.396008512,2.499560594,2.760764281,2.734602896,3.234727635,0,1.917358032,0.327819538,1.468919337,2.438529415,2.646326887,2.584376567,2.996904076,4.143645988,2.236570632,2.482313228,2.493147954,1.642136459,0,4.766737066,0,2.384137695,1.120575156,1.067448666,1.51531926,2.401413489,1.753195229,2.66520636,1.402509214,3.038140162,1.297402604,3.209758437,2.247731471,0,2.99977339,3.915535951,1.340549216,2.32785291,2.155135932,0.934701808,4.018241005,4.059557311,2.787818042,3.48292429,3.646070737,1.848012818,3.816344166,1.919433159,3.778564668,0.745288629,0,2.450590597,2.794089514
hsa-let-7a-3p,166.0598439,171.7031603,196.9099735,179.2209607,149.6389243,118.4693098,167.4705598,143.5597426,123.2850139,156.6532383,180.5935877,188.0608669,112.4421015,136.6094984,198.4962944,144.937288,122.0810264,167.4936389,223.0662757,138.4543725,73.53852937,145.4336307,87.58061112,117.1332982,144.1937962,158.2525616,157.6335746,156.6564069,161.1847486,192.2290718,133.9455079,157.0862925,162.873722,158.4835412,246.0893531,133.2227621,105.7294429,120.2536337,76.82744954,88.60869091,61.29319739,114.4341558,147.4306843,142.3657442,157.0299037,132.2928577,133.9653913,103.1492675,144.1930656,148.5773825,82.85257466,183.729712,137.7193291,211.3231411,77.13737312,179.5393856,76.58095616,173.0864925
hsa-let-7a-5p,12322.02577,24297.78887,32083.28826,37987.45712,13610.96841,14655.85162,16614.46024,27376.84292,30283.44823,24295.26909,28852.09439,20815.47791,12929.5304,25912.93895,15572.12371,14542.99119,17523.79604,29334.19658,46937.14993,25476.03055,11947.68385,21945.51934,18971.8762,27071.18949,28527.43173,27172.99691,27301.88269,31172.1597,38566.9203,13173.31975,21132.97235,25354.7094,29442.83079,25177.49478,35477.29748,20265.42867,21952.30829,23348.31065,7785.847963,13049.47575,7569.935774,24179.36433,22105.09724,26745.74401,34689.82187,23238.72411,28271.43371,13576.45942,31969.06547,26926.23239,27374.45987,38484.01457,13819.91874,25334.17018,9812.097447,22904.13866,13428.93015,15362.63944
hsa-let-7b-3p,70.92766358,55.39293259,92.61062681,76.975597,63.79498345,65.75712251,63.6792818,76.38114511,88.64671054,66.38893384,77.36484094,74.13784389,31.14285611,83.99547847,72.50560794,71.04369874,50.08767919,87.07671288,141.0566155,93.61645645,19.08278294,68.14604408,51.17991963,61.62895756,66.43639786,70.52559811,91.01796259,76.19911063,98.5610935,63.85988309,65.37181164,66.6214187,72.25670575,61.3597781,71.51314535,38.78550942,48.27476689,50.5739581,33.41565649,45.68885625,10.84302263,43.01944301,27.74024718,47.92008132,64.14391156,43.58246013,37.21260868,40.10169029,72.44482523,45.57588421,52.2063621,61.60669867,32.95026923,67.55336346,38.75500872,72.41421887,33.5424588,71.91104066
hsa-let-7b-5p,10692.85707,13934.23403,17927.34935,16493.7711,7369.055554,7619.30707,6552.062477,10384.52282,16936.30727,9367.617195,9917.673481,8456.347819,2640.258559,10975.76529,8827.964188,7536.738975,5691.535595,11527.25854,18495.85448,10913.61266,1675.25114,9573.480382,7820.127505,11952.95546,11469.0673,12095.80902,15436.7306,14669.44937,19553.88048,6603.544859,8909.244044,9366.270191,10936.2301,10347.36235,14976.86248,8026.55192,9610.915492,9522.514377,5729.499871,7095.156323,1625.098017,10719.03153,5503.432254,10796.59716,16844.84547,10994.83468,13140.11042,7148.823249,19252.2123,13855.98032,11134.12323,20754.36996,5124.646605,10457.86892,3221.5101,11258.31641,3921.557603,6123.320699
hsa-let-7c-3p,4.455557814,11.94456767,14.38611679,15.55062566,4.409791483,6.921802369,7.498681782,8.282292843,7.520157963,11.39856405,7.940672824,13.58128606,5.245112608,12.81965967,10.40439217,18.3207246,10.46057182,12.65359499,17.26519162,8.200758984,3.413180688,15.78993704,3.284272917,7.272982569,18.17318506,13.76109231,8.554847023,13.89513194,6.048875774,16.45203768,4.536003257,15.42811802,4.738144639,12.27195562,15.19070081,10.03779909,8.473762273,8.990925884,6.283285836,5.768794981,4.517926097,14.38043704,18.23484779,19.64976879,6.075561751,23.80035057,6.089335966,24.87591483,29.95314889,13.67276526,5.698039521,29.44036928,12.47631553,25.2518712,11.55197375,12.8669893,2.144266772,9.999899314
hsa-let-7c-5p,769.607297,5772.361636,4220.527012,7561.491726,1845.350743,2459.63585,1107.305343,5613.738089,5988.780342,4488.723714,3593.494767,3795.570004,598.2706569,4432.530869,1286.242982,2733.655674,4241.331144,5960.009734,7725.137337,3488.730676,521.7512116,3664.71973,2281.748609,3560.316362,5432.292729,5427.986413,1953.590476,4397.809259,2628.770248,2476.03167,1721.279824,4573.385074,1976.102449,4998.893465,4114.810295,4364.394075,2011.106246,3714.376256,1595.668999,2557.422191,571.5176513,4554.089422,4280.727513,5191.722461,3911.610228,4810.76177,3652.924987,2847.863354,5779.564566,5140.959739,3941.965341,8687.089705,1611.764019,4926.326727,2772.846345,4146.462111,247.5096503,2573.650557
hsa-let-7d-3p,25.89040351,30.16003338,102.9506482,54.4271898,20.87301302,28.21965581,12.49780297,24.84687853,42.15846131,10.16628685,13.61258198,15.17908442,5.572932146,22.56794255,21.1339216,28.29534133,13.16801394,22.14379123,26.93369892,36.53065366,6.826361376,16.41322403,29.28476684,16.45990792,13.406448,20.83276475,17.53042423,22.41150313,20.9931571,23.16273725,24.01413489,12.2723666,17.17577432,11.92132832,36.45768194,13.72515386,26.38421435,6.743194413,68.8305403,27.22871231,4.969718707,17.18340358,12.60920326,12.17017938,21.38130385,25.9640188,29.09349406,12.22350988,48.0643552,19.14187137,67.60646891,21.80768095,20.23402455,20.36738516,52.91549267,21.54472628,16.23516271,16.32336506
hsa-let-7d-5p,388.7173142,711.5976192,1089.29878,975.80176,545.0502273,577.4380515,527.8833921,551.0485505,643.3153312,546.2068663,597.8192255,499.1522076,247.1759317,692.9293128,654.0135891,499.5450909,388.517944,693.9497883,1016.919786,757.1324106,219.9950098,502.3693128,573.9266923,674.4734361,506.4658133,544.7099041,564.6199035,587.629612,1029.020514,332.7208146,839.9610736,509.4785335,757.5108742,453.7117307,1377.212306,516.4345207,950.0884973,660.8330524,291.6015836,281.2864433,156.320243,515.7458437,332.4949906,453.7195001,757.225302,446.6429425,880.9239365,299.7976633,629.7127116,529.5917745,813.2796409,562.0929764,741.5410104,511.1199915,294.0163642,629.8840113,785.4142864,494.8479587
hsa-let-7e-3p,19.26727703,11.34733929,13.93655064,7.386547187,7.937624669,3.993347521,7.379655087,3.865069993,6.38074009,7.547697814,4.083774595,12.46282721,6.884210298,10.01535912,10.40439217,10.17818034,4.184228728,5.827313481,2.24447491,7.561738803,2.172024074,8.310493181,3.010583507,7.655771125,2.6812896,10.7030718,13.46336581,10.08517641,14.23264888,17.53440858,14.94212837,8.765976145,12.14149564,2.805018428,2.804437073,5.05304172,15.15005982,4.495462942,4.855266328,8.307064773,4.216731024,8.165163404,1.939877425,4.056726461,25.47062426,9.272863858,3.382964426,9.006796751,4.876094006,5.469106105,9.240064088,8.723072379,15.19551251,7.188488881,4.84437609,7.480807735,9.189714739,8.382268543
